id,contract_symbol,expiration_date,strike,option_type,last_price,bid,ask,change_amount,change_percent,volume,open_interest,implied_volatility,in_the_money,contract_size,currency,last_trade_date,current_stock_price,strike_vs_price_pct,fetch_date,created_at
102,BMNR250829C00048000,2025-08-29,48.0,call,0.38,0.35,0.4,-0.64,-62.7451,17012,5279,0.8867198828125,0,0,USD,2025-08-28 19:59:05,45.57,5.33245556287031,2025-08-28,2025-08-28 22:24:11
103,BMNR250829C00050000,2025-08-29,50.0,call,0.15,0.15,0.2,-0.47,-75.80645,12277,9704,0.9960937890625,0,0,USD,2025-08-28 19:59:49,45.57,9.72130787798991,2025-08-28,2025-08-28 22:24:11
104,BMNR250829C00047000,2025-08-29,47.0,call,0.57,0.55,0.6,-0.83,-59.285717,7194,2038,0.842775009765625,0,0,USD,2025-08-28 19:59:57,45.57,3.13802940531051,2025-08-28,2025-08-28 22:24:11
105,BMNR250829P00044000,2025-08-29,44.0,put,0.65,0.55,0.65,-0.32000005,-32.989693,6727,12875,0.929688203125,0,0,USD,2025-08-28 19:59:49,45.57,-3.44524906736888,2025-08-28,2025-08-28 22:24:11
106,BMNR250829C00046000,2025-08-29,46.0,call,0.89,0.75,1.3,-0.90999997,-50.555557,6214,433,0.90820404296875,0,0,USD,2025-08-28 19:59:54,45.57,0.943603247750713,2025-08-28,2025-08-28 22:24:11
107,BMNR250829P00045000,2025-08-29,45.0,put,1.0,0.95,1.05,-0.28999996,-22.480618,3940,5385,0.945313046875,0,0,USD,2025-08-28 19:59:25,45.57,-1.25082290980909,2025-08-28,2025-08-28 22:24:11
108,BMNR250829C00046500,2025-08-29,46.5,call,0.7,0.65,0.95,-0.88000005,-55.696205,2278,348,0.88867298828125,0,0,USD,2025-08-28 19:59:09,45.57,2.04081632653061,2025-08-28,2025-08-28 22:24:11
109,BMNR250829P00046500,2025-08-29,46.5,put,1.86,1.8,2.15,-0.15999997,-7.92079,1970,2417,1.07617649414063,1,0,USD,2025-08-28 19:44:37,45.57,2.04081632653061,2025-08-28,2025-08-28 22:24:11
110,BMNR250829C00049000,2025-08-29,49.0,call,0.24,0.2,0.3,-0.56,-70.0,1627,822,0.937500625,0,0,USD,2025-08-28 19:59:50,45.57,7.52688172043011,2025-08-28,2025-08-28 22:24:11
111,BMNR250829P00046000,2025-08-29,46.0,put,1.41,1.5,1.6,-0.34000003,-19.428574,1524,2429,0.979492392578125,1,0,USD,2025-08-28 19:47:54,45.57,0.943603247750713,2025-08-28,2025-08-28 22:24:11
112,BMNR250829P00047000,2025-08-29,47.0,put,2.2,2.0,2.35,-0.18000007,-7.563028,1495,2636,0.9804689453125,1,0,USD,2025-08-28 19:57:06,45.57,3.13802940531051,2025-08-28,2025-08-28 22:24:11
113,BMNR250829P00043500,2025-08-29,43.5,put,0.45,0.4,0.6,-0.40000004,-47.058826,1482,640,0.97070341796875,0,0,USD,2025-08-28 19:49:28,45.57,-4.54246214614878,2025-08-28,2025-08-28 22:24:11
114,BMNR250829C00047500,2025-08-29,47.5,call,0.45,0.4,0.5,-0.74000007,-62.184875,1280,460,0.851563984375,0,0,USD,2025-08-28 19:59:27,45.57,4.23524248409041,2025-08-28,2025-08-28 22:24:11
